x,y,width,height
3557,3314,2,1
3538,3241,5,5
3787,3227,1,1
3769,3227,7,4
3760,3225,1,1
3783,3223,1,1
3780,3223,2,3
3789,3219,3,2
3800,3215,1,1
3802,3214,1,1
3546,3213,1,1
3544,3211,1,1
3795,3210,1,1
3545,3207,1,1
3808,3205,5,4
3803,3205,2,3
3814,3204,1,1
3840,3203,1,1
3818,3199,8,6
3839,3198,6,5
3826,3195,2,4
3824,3195,1,1
3833,3193,4,3
3804,3183,1,1
3698,3089,1,1
3692,3089,1,1
3689,3088,1,2
3706,3086,1,1
3406,3085,2,1
3709,3084,1,1
3691,3084,3,1
3399,3084,1,1
3695,3083,1,1
3721,3082,2,1
3406,3081,1,1
3701,3080,1,1
3479,3080,1,1
3404,3080,1,1
3731,3079,2,1
3472,3079,1,1
3395,3079,1,1
3474,3076,4,5
3464,3076,1,1
3397,3074,1,1
3393,3074,1,1
3395,3072,1,2
3461,3070,1,1
3457,3070,1,2
3455,3068,1,1
3460,3064,2,1
3456,3064,3,2
3695,3060,1,1
3697,3056,1,1
3705,3051,1,2
3494,3051,1,1
3720,3046,1,1
3733,3040,2,1
3744,3034,1,1
3719,3033,8,8
3731,3030,1,1
3734,3029,1,1
3753,3028,2,1
3739,3028,2,2
3759,3027,1,1
3764,3025,1,1
3743,3025,1,2
3762,3024,1,1
3745,3023,6,4
3772,3022,2,2
3756,3022,2,1
3752,3022,1,1
3760,3021,2,2
3609,2964,1,1
1159,2367,1,3
1160,2358,9,11
1162,2353,1,1
1158,2351,3,3
1164,2345,4,10
1160,2338,1,1
1064,2334,1,1
1162,2330,1,1
1162,2327,6,15
1157,2322,2,2
1166,2321,1,3
1062,2317,1,1
1060,2311,3,2
1159,2299,5,7
1156,2291,1,1
1204,2284,3,3
1207,2278,1,3
1038,2275,1,3
1104,2271,1,2
1211,2270,1,4
1039,2270,1,1
1207,2268,1,1
1038,2264,1,4
1201,2259,3,4
1037,2255,2,6
1101,2253,1,1
1100,2246,1,1
1036,2245,1,1
920,2244,5,6
1036,2241,1,1
913,2239,1,4
915,2236,1,1
1037,2229,1,1
1036,2222,1,1
1100,2221,1,1
1041,2221,1,1
1087,2220,1,1
1084,2220,1,1
1043,2219,2,3
1073,2216,1,1
1045,2216,1,2
1166,2215,1,1
1163,2215,2,1
1039,2215,1,1
1043,2214,1,1
1054,2213,2,1
1174,2212,2,2
1111,2210,2,4
1113,2207,1,1
1090,2207,2,1
1087,2204,3,2
1093,2201,1,1
1086,2201,1,1
1160,2193,5,5
1109,2189,2,2
1090,2188,1,1
1149,2185,1,1
1144,2184,2,1
1108,2184,2,1
1105,2184,1,1
1100,2184,1,1
1094,2184,2,1
1092,2184,1,1
1123,2183,1,1
1994,2096,1,1
1985,2096,1,1
1981,2096,1,1
1975,2096,2,1
1972,2096,2,1
1969,2096,2,1
1967,2096,1,1
1958,2096,1,1
2001,2095,1,1
1983,2095,1,1
4696,1832,1,2
2958,1572,1,1
2953,1563,4,5
2941,1558,1,1
2950,1557,2,2
2946,1554,1,1
2939,1551,6,4
3188,1381,1,1
